#{"t_start": 1763702262.0168269, "env_id": "Team7-v0"}
r,l,t
27.157636,40,587.443628
10.952381,17,589.598178
8.428581,12,591.20337
2.828156,5,591.864321
11.418688,17,594.11297
8.712125,13,596.003864
8.67619,13,597.710364
10.275112,15,599.649929
9.714286,15,601.610489
9.666667,15,603.579299
11.114286,17,605.922361
7.361553,12,607.485872
24.825568,36,612.142833
7.438095,12,613.764303
11.209524,17,615.950048
18.561905,27,619.724262
14.590476,21,622.510064
27.284538,40,627.89199
21.386131,31,631.805551
16.780952,24,634.845899
4.999448,8,635.921828
10.4,16,638.066908
3.542857,6,638.886142
4.67619,8,639.956336
23.628571,36,644.499844
27.080058,40,649.696954
6.285714,10,650.997527
10.685714,16,653.080588
7.899167,12,654.675549
16.533333,24,658.024094
8.419048,13,659.729631
19.085714,27,663.179376
11.874632,18,665.572948
5.466667,9,666.745787
27.742857,40,671.463905
28.450603,40,676.416103
15.301748,23,679.293806
7.433032,12,680.862911
10.219048,16,682.917236
5.811851,9,684.106558
10.12381,15,686.064649
28.079609,40,691.173661
8.209524,13,692.894173
13.6,21,695.654416
8.360027,12,697.499629
26.809558,40,702.582044
8.887566,13,704.287742
10.742857,17,706.424842
15.771429,23,709.410569
5.520648,8,710.492728
8.057143,13,712.164571
4.771429,8,713.209284
28.980952,40,718.256529
8.841682,14,720.085512
5.638095,9,721.279048
11.139755,16,723.387111
14.733333,23,726.433257
7.685714,12,728.136291
6.809524,11,729.628059
2.051776,4,730.169594
7.761905,12,731.714404
24.252594,36,736.216366
20.152381,31,740.141611
10.895238,16,742.208951
10.164551,16,744.254653
10.334698,15,746.220091
6.561905,10,747.516221
10.557175,16,749.605243
22.238095,34,753.692683
27.485714,40,758.485458
26.939118,40,763.328528
19.295238,28,766.79668
13.561905,20,769.403073
28.171429,40,774.492543
5.685714,9,776.252521
5.595729,9,777.476893
27.47619,40,782.406722
26.257143,38,787.11556
13.304762,20,789.760456
26.704762,40,794.66583
7.571429,12,796.24773
9.342857,15,798.240922
4.142857,7,799.178679
27.695238,40,804.291467
20.819048,30,808.211987
2.666667,5,808.882635
7.352381,11,810.333084
27.380952,40,815.467431
10.180952,16,817.521171
14.733333,23,820.542962
8.8,14,822.329453
6.819254,10,823.629274
19.714286,30,827.216536
20.666748,30,831.016222
7.247619,11,832.499395
15.209524,22,835.63337
7.595329,12,837.2092
10.104142,15,839.224162
9.447619,14,841.078318
13.695238,20,843.582494
20.390476,30,847.306909
11.284088,17,849.500298
28.937487,40,854.723129
