#{"t_start": 1764113505.00061, "env_id": "None"}
r,l,t
26.836863,33,5.549389
13.169781,16,5.570767
9.095888,10,5.600272
18.859444,23,5.625038
10.217228,12,5.631851
24.606411,33,5.639702
12.463038,15,5.660789
24.575914,32,5.668441
18.361649,20,5.66848
12.006293,14,5.6751
9.598863,11,5.681867
10.708912,12,5.747654
13.074683,15,5.765206
14.9250965,17,5.775619
12.644389,15,5.78299
18.410858,23,5.78302
16.380566,19,5.799713
21.914537,26,5.821646
24.51173,29,5.836226
11.069416,12,5.853819
9.583442,11,5.876482
12.350821,14,5.876529
16.34201,19,5.926349
7.8364034,9,5.951473
24.050268,27,5.960423
14.407786,17,5.968392
21.132555,24,5.968424
16.270035,18,5.997048
10.427253,12,6.025174
22.804169,26,6.025215
20.862724,25,6.081645
15.512012,18,6.11469
16.006765,18,6.114731
10.169612,11,6.114739
18.450022,21,6.129595
11.8046875,14,6.137952
21.261086,24,6.14544
16.427275,20,6.161204
8.021438,9,6.179095
11.850133,14,6.185013
7.8749714,9,6.191429
15.943684,17,6.234395
11.041892,12,6.242929
17.9263,22,6.2709
17.206623,21,6.292884
13.865241,16,6.308608
9.826805,11,6.317565
19.536724,22,6.340796
11.467202,13,6.340829
27.927187,31,6.362104
12.995004,15,6.384644
8.783778,10,6.384667
10.375303,12,6.429606
28.017778,33,6.429637
12.937476,15,6.452891
16.850578,19,6.459611
12.572859,14,6.470882
9.05589,10,6.499371
10.836279,12,6.535645
29.14473,34,6.543999
17.548967,20,6.573286
14.79828,17,6.58094
24.496607,28,6.590411
24.244047,32,6.617747
14.610285,16,6.617771
13.106425,15,6.645215
8.82171,10,6.659404
24.453232,28,6.668131
8.91451,10,6.690659
19.052416,21,6.699185
15.137393,18,6.715077
9.707038,11,6.731501
14.984948,17,6.7458
8.75761,10,6.745824
11.523411,13,6.758776
8.187679,9,6.764506
7.088889,8,6.773286
14.6514845,18,6.819228
29.905556,34,6.819256
9.824387,11,6.833448
15.257643,17,6.84708
8.001519,9,6.881896
21.545788,25,6.923027
23.008755,26,6.95954
8.836072,10,6.967675
13.537252,16,6.977441
16.89681,20,6.977467
16.769234,20,6.993718
27.224897,33,6.993739
9.766838,11,7.013669
28.793112,32,7.013702
10.14445,11,7.038203
9.95005,11,7.063275
12.708805,14,7.071344
10.82671,12,7.071364
15.129014,17,7.095075
15.842471,20,7.109413
15.30094,18,7.143209
8.834628,10,7.15148
15.439998,17,7.174609
10.181529,12,7.17464
10.750153,12,7.281621
27.784985,31,7.281657
16.164104,19,7.281665
11.479924,13,7.304905
14.928435,17,7.312222
15.857431,19,7.349609
28.069374,32,7.349653
26.62173,30,7.376355
9.13715,10,7.385376
14.545286,16,7.400228
15.29771,17,7.408044
16.997377,19,7.42299
9.335015,11,7.429677
7.95,9,7.452231
10.352343,12,7.485497
7.8467083,9,7.485523
23.151442,26,7.493841
17.325474,20,7.526257
12.2432165,14,7.536134
18.855896,21,7.570747
23.804047,31,7.585391
12.37758,14,7.605704
8.255555,9,7.648647
22.975382,27,7.657366
19.197859,23,7.665288
16.601288,19,7.681738
14.792501,17,7.738667
24.7478,32,7.738703
25.13714,28,7.74726
19.179764,23,7.747277
15.157617,17,7.782493
11.351735,13,7.782516
15.750566,18,7.794802
8.00011,9,7.805889
10.823808,13,7.833215
14.277316,16,7.850904
22.037476,27,7.86659
17.925095,20,7.879751
8.086302,9,7.901518
14.236583,16,7.908753
10.064509,11,7.931501
18.20715,21,7.931532
15.889489,19,7.94485
11.736285,13,7.958945
7.8666673,9,7.973204
25.045963,34,8.020513
10.061112,11,8.020554
11.398426,13,8.020562
20.531815,23,8.049736
10.207131,11,8.057906
11.671925,13,8.057938
24.203123,27,8.108589
11.121353,12,8.122931
13.610844,15,8.148351
14.1428995,17,8.160093
11.310538,13,8.160125
25.13118,33,8.183901
11.061154,12,8.211045
13.521667,15,8.21944
10.737751,12,8.233231
22.66369,26,8.252715
13.581127,16,8.27512
26.988317,30,8.275145
11.053054,13,8.275152
8.033334,9,8.2813
9.631005,11,8.289046
17.167564,20,8.302517
7.970343,9,8.315099
10.255556,11,8.34862
16.186378,19,8.365577
10.986083,12,8.389191
14.851574,17,8.396116
17.592764,21,8.433574
17.764393,20,8.465203
20.896517,25,8.474527
12.368722,14,8.474556
11.058703,12,8.491221
15.755143,18,8.491247
26.725925,32,8.513405
10.018229,11,8.521096
16.531525,19,8.534772
11.338889,12,8.561038
13.548644,15,8.581413
9.562906,11,8.589439
15.7667055,17,8.589469
13.192551,15,8.597149
15.326975,18,8.621127
10.804167,12,8.643827
10.984725,12,8.666847
14.0585785,16,8.694048
22.201126,26,8.694088
14.189141,18,8.703285
12.5080185,14,8.710953
24.508064,28,8.725964
16.922089,19,8.725992
11.227778,12,8.784537
8.74127,10,8.801832
8.630831,10,8.801881
19.794075,22,8.801889
14.49584,17,8.831073
18.218548,22,8.831119
8.854816,10,8.857488
8.196498,9,8.863667
17.597721,21,8.863691
20.417448,25,8.878528
12.477119,14,8.897245
16.033255,18,8.928754
17.708132,20,8.981259
19.186481,22,8.997435
13.610202,15,8.997463
13.750421,16,9.028752
18.51974,22,9.028791
19.149685,22,9.035704
21.90837,25,9.057752
7.930527,9,9.065486
16.74568,20,9.08634
12.85385,14,9.101648
15.336532,17,9.107412
11.683849,13,9.127296
9.451968,11,9.142324
14.834798,17,9.15008
12.214374,14,9.159567
8.753024,10,9.180235
13.896177,17,9.210014
8.902758,10,9.222803
26.959274,30,9.244435
16.767567,21,9.252026
16.094473,19,9.26681
17.23092,20,9.287919
16.084011,18,9.310197
19.808523,23,9.329174
14.792821,16,9.349212
16.805979,20,9.364369
14.328235,16,9.373955
11.230101,13,9.373973
10.671067,12,9.420416
15.853251,18,9.427279
11.048791,12,9.435487
8.784809,10,9.442571
7.9450116,9,9.49145
25.92532,35,9.517764
24.474247,28,9.52572
10.568527,12,9.525742
9.993235,11,9.525749
20.397863,23,9.541592
13.453819,15,9.541614
23.24884,29,9.571345
8.227778,9,9.582128
11.656787,13,9.626719
13.6466255,16,9.65034
8.129943,9,9.65037
23.613617,27,9.680351
20.120052,24,9.697671
23.145754,27,9.71256
22.568552,26,9.712585
8.123705,9,9.718625
22.179693,25,9.757961
10.2286215,11,9.765748
10.370497,12,9.80055
10.91969,12,9.800583
17.968493,21,9.808176
23.238811,29,9.840789
18.322123,21,9.848839
11.501471,13,9.856283
19.420198,24,9.89351
17.346022,20,9.901725
13.114906,15,9.907972
13.944887,16,9.913909
12.628865,15,9.94506
9.290371,10,9.952242
8.215457,9,9.952263
19.991095,25,9.97563
11.830079,14,9.994159
19.657143,22,10.005846
22.667448,27,10.027996
19.373608,22,10.060367
14.369085,16,10.060391
9.835478,11,10.101895
11.79384,14,10.126337
11.202607,12,10.146646
21.447735,26,10.179202
24.116533,27,10.188519
21.94622,24,10.188565
9.848891,11,10.20525
9.352543,11,10.234173
15.968421,19,10.241427
11.14446,13,10.287864
11.683325,14,10.312006
25.721079,29,10.320491
15.629592,18,10.328551
15.316319,17,10.377557
27.016275,31,10.3776
27.644722,30,10.416199
14.584045,16,10.416234
22.65483,25,10.434713
13.554081,15,10.434745
12.237025,14,10.441546
13.958591,16,10.449377
8.222222,9,10.478887
7.725221,9,10.478928
14.346347,16,10.495706
9.988883,11,10.510573
9.519703,11,10.517574
15.311748,18,10.558344
10.132124,11,10.558377
12.053755,13,10.586076
17.188,21,10.593094
24.801535,32,10.611842
16.830616,19,10.657239
8.0585,9,10.664808
13.685055,17,10.689839
12.185114,14,10.699737
22.461336,25,10.69976
16.5038,19,10.705653
28.1506,34,10.730719
8.652041,10,10.759362
20.152346,23,10.774208
12.16985,15,10.789299
12.325074,14,10.828449
18.393143,22,10.849722
12.3996725,14,10.877971
24.287203,31,10.878007
27.255533,31,10.884774
27.172499,30,10.914518
12.448199,15,10.938919
23.741297,28,10.967422
11.612212,13,10.982268
15.9629135,18,10.982294
9.691283,11,10.995448
27.095154,32,11.021618
11.8004265,13,11.028659
18.475016,23,11.045715
19.217384,23,11.04574
10.83628,12,11.053288
10.588889,12,11.069186
12.1842785,14,11.083731
10.729297,12,11.11152
11.620648,13,11.126043
16.750595,20,11.142982
8.118621,9,11.151582
11.666709,13,11.151604
11.794628,14,11.15161
16.73343,19,11.190534
9.951928,11,11.23328
13.269992,15,11.262192
24.639532,27,11.271519
20.08908,24,11.295225
9.951858,11,11.314293
15.797289,18,11.321665
20.5349,26,11.321683
7.2377744,8,11.347308
25.937458,31,11.369125
8.709958,10,11.383529
25.03427,33,11.39071
11.097711,12,11.40627
8.005657,9,11.437026
16.991758,20,11.464683
27.985308,31,11.486331
13.932434,16,11.501448
27.649698,33,11.508482
15.544111,18,11.567005
27.201677,33,11.587466
23.934227,27,11.603357
12.618706,14,11.603381
17.047245,20,11.608157
28.913017,33,11.628892
17.518438,22,11.660734
21.763765,26,11.66757
9.922409,11,11.683897
11.172222,12,11.683916
12.539167,15,11.690733
18.877836,22,11.720626
14.507734,16,11.780566
12.26842,14,11.7806
18.803797,22,11.780607
14.598856,17,11.780612
12.648843,14,11.787642
23.828701,31,11.821725
16.044693,19,11.821749
10.985309,12,11.870383
17.952463,21,11.870408
15.571437,17,11.912315
15.115089,17,11.921553
16.604803,19,11.930221
7.91731,9,11.94675
8.601858,10,11.955597
16.063822,18,11.962944
8.018174,9,11.983909
24.539967,29,12.002811
19.686237,24,12.002834
8.250185,9,12.010428
11.964219,13,12.017852
8.7183275,10,12.029963
8.138922,9,12.076069
19.768467,22,12.101784
12.001087,14,12.142321
13.599238,15,12.142371
19.214485,24,12.15922
18.723894,22,12.173549
9.152807,10,12.22953
7.9491277,9,12.236382
13.283266,15,12.253594
22.995352,27,12.261391
26.950274,32,12.268232
17.357908,22,12.300417
11.530703,13,12.32665
10.80947,12,12.333617
24.208635,32,12.3415
25.453066,35,12.376228
22.901667,26,12.419223
8.792546,10,12.44932
24.380306,28,12.466707
17.911222,21,12.492212
27.712221,31,12.499475
19.89315,23,12.512761
8.137011,9,12.52362
24.613428,29,12.523643
23.034206,26,12.543805
8.152749,9,12.575285
11.672006,13,12.587906
23.880447,27,12.617603
18.711355,22,12.650096
22.68304,28,12.672247
15.54488,19,12.680337
22.106613,25,12.707595
15.200345,17,12.707623
14.591784,16,12.743671
17.586344,21,12.750651
25.289736,33,12.769589
13.405959,15,12.769612
8.262593,9,12.775559
15.635757,18,12.811914
12.762075,15,12.819842
10.688618,12,12.841333
15.667863,18,12.875654
8.831568,10,12.884802
20.4862,27,12.884834
17.943327,22,12.931664
8.081454,9,12.954564
20.234203,24,12.954608
22.797815,27,12.967741
15.674608,18,12.975408
17.61082,22,12.985538
14.042902,17,13.005575
14.103594,17,13.011921
8.123771,9,13.03322
10.132124,11,13.033248
9.021916,10,13.076057
8.897363,10,13.08293
7.9447765,9,13.09616
18.955809,22,13.132382
7.388889,8,13.139659
19.816483,25,13.162522
27.68435,31,13.176365
27.60303,34,13.1764
18.575144,23,13.196624
16.391592,20,13.219571
11.438922,13,13.22708
9.587204,11,13.247974
8.883158,10,13.255763
17.481125,21,13.255803
9.338095,11,13.345336
