r,l,t,episode
6.52381,10,498.920772,229
12.304762,19,501.582749,230
12.050502,18,503.98336,231
4.436803,7,504.943494,232
3.087763,5,505.628109,233
5.716249,9,506.875001,234
19.956226,29,510.772559,235
24.498427,36,515.467773,236
20.651948,31,519.56123,237
8.485714,13,521.250044,238
4.56946,7,522.194044,239
10.785553,17,524.546463,240
16.219048,25,527.852857,241
11.508607,18,530.242124,242
7.435275,11,531.751428,243
7.438095,12,533.374126,244
3.561905,6,534.233349,245
4.403699,7,535.192259,246
3.872872,6,536.017599,247
14.64946,22,538.850791,248
7.935449,12,540.477234,249
3.173283,5,541.168544,250
11.333333,17,543.401803,251
13.377137,20,545.984085,252
12.345634,19,548.522788,253
4.518287,7,549.493832,254
28.901808,40,555.131907,255
9.265227,14,556.987567,256
5.190476,8,558.113707,257
11.63582,18,560.390768,258
13.62234,21,563.346957,259
28.050072,40,568.66795,260
12.694816,19,571.841804,261
5.8885,9,573.097116,262
2.306396,4,573.70695,263
6.704762,11,575.290651,264
16.237439,23,578.794095,265
11.500098,17,580.999022,266
11.629953,17,583.245819,267
10.07619,16,585.366625,268
6.200508,10,586.733452,269
2.04594,4,587.386002,270
8.714286,14,589.7245,271
17.419342,25,593.69492,272
7.72381,12,595.366685,273
7.847619,12,597.001059,274
29.328146,40,602.047783,275
2.815715,5,602.731013,276
15.12381,22,605.652388,277
6.846105,10,607.025403,278
8.335019,13,608.770689,279
8.271801,13,610.571436,280
2.752381,5,611.247575,281
26.832441,40,616.344381,282
16.860988,26,619.641821,283
27.170649,40,624.897155,284
27.085714,40,630.194202,285
11.870985,17,632.522,286
11.428571,18,634.906781,287
10.988353,17,637.126188,288
20.929709,31,640.772846,289
5.729514,9,642.00802,290
4.142857,7,642.977146,291
6.44859,10,644.343616,292
7.666667,12,645.967951,293
14.399628,22,648.885997,294
14.674518,21,651.698778,295
12.857143,20,654.353708,296
8.866667,14,656.242333,297
4.942857,8,657.335134,298
15.175206,23,660.49308,299
14.912138,22,663.389653,300
10.368029,16,665.614037,301
22.802605,33,669.970296,302
25.383216,36,674.71255,303
13.900701,20,677.323579,304
2.405712,4,677.866719,305
16.990476,25,681.376796,306
9.514286,15,683.429213,307
25.505147,36,688.279596,308
