#{"t_start": 1763010066.616523, "env_id": "None"}
r,l,t
70.460365,76,89.356539
90.58915,102,89.438687
63.63984,67,89.477227
123.58499,145,89.481647
75.26982,81,89.489244
162.2136,181,89.561709
105.52579,114,89.575615
110.731995,120,89.690091
84.4892,88,164.590297
64.55348,67,164.596393
94.59966,107,164.619752
118.52856,131,164.624598
69.68693,74,164.641551
91.67685,98,164.6416
105.98129,116,164.697459
60.719234,63,164.829632
70.655754,74,164.892039
69.04693,74,164.911383
69.1169,74,164.91143
101.74297,115,165.019168
101.96974,111,165.034491
132.00217,154,165.050766
94.97797,101,165.2017
98.47659,107,165.303445
116.501144,124,165.347568
85.41691,89,165.373348
97.832634,105,165.417184
190.83739,212,165.473218
154.71234,171,165.539433
116.219635,126,165.766091
89.94581,100,165.785023
112.54622,120,165.789361
88.989334,96,165.826345
171.42996,222,165.834569
188.38799,208,165.966157
73.56919,78,166.074402
177.51067,205,166.12552
87.6766,93,166.169925
147.67535,177,166.192118
118.72565,130,166.294656
125.88988,133,166.374011
128.08989,149,166.385672
95.88485,107,166.410899
73.57352,79,166.419269
93.70059,99,166.540676
65.17708,71,166.555797
89.715614,104,166.599241
90.884254,99,166.603564
69.696175,74,166.643614
71.91014,77,166.665797
61.113716,63,166.828329
105.89988,116,166.835721
91.6858,97,167.015145
128.0688,149,167.081044
67.26057,71,167.089
117.185196,133,167.126108
140.54666,158,167.175216
178.99098,215,167.194006
95.076294,101,167.209877
156.9212,183,167.224749
71.20119,76,167.359459
75.12298,80,167.381732
93.65816,102,167.54351
91.372894,101,167.558897
131.94759,153,167.574502
117.528725,129,167.597396
102.85799,116,167.644875
68.4701,74,167.868256
84.25928,89,167.886873
175.43385,192,167.909558
145.0965,175,168.023093
153.12514,187,168.045089
118.876526,132,168.060319
112.85309,123,168.097173
147.32838,159,168.130173
70.89886,74,168.15925
58.19394,62,168.271314
119.261116,125,168.326705
61.753548,66,168.338778
111.94775,125,168.36819
101.2782,106,168.411591
72.650826,77,168.411633
76.88062,81,168.454942
123.51953,134,168.548654
80.87488,86,168.724328
106.39647,114,168.755148
117.6944,132,168.894254
118.718254,129,168.928289
136.56427,162,168.961897
123.26706,135,169.047078
194.08194,219,169.07581
191.76796,210,169.097667
106.92705,118,169.159546
125.51476,138,169.260294
99.49463,107,169.286287
95.60401,100,169.294122
91.01499,102,169.446709
119.106705,138,169.465707
130.24953,140,169.556452
116.083595,126,169.556489
96.356766,109,169.556498
115.9367,127,169.753532
84.98776,89,169.786563
117.958626,128,169.909513
176.43835,194,169.990288
115.91633,133,170.037612
123.54973,134,170.042116
68.765045,75,170.060797
179.6306,220,170.060834
120.02812,141,170.068622
90.89518,103,170.129004
69.82147,74,170.307931
91.31466,101,170.438431
106.5194,113,170.454002
87.75313,92,170.469166
121.36603,138,170.568455
140.50311,150,170.613188
188.8224,207,170.671968
61.202618,65,170.679636
68.45275,72,170.735269
175.25642,214,170.77965
123.10285,135,170.813504
64.12266,69,170.924289
86.30688,93,170.954152
143.01378,170,171.080255
137.92387,147,171.110547
93.46991,99,171.175718
66.632996,71,171.190705
111.94527,131,171.220173
131.17166,146,171.220218
117.988525,135,171.282402
90.2311,103,171.340784
87.02494,98,171.48168
70.768166,76,171.507381
85.78107,94,171.577729
122.30992,134,171.589636
110.314804,119,171.631389
105.49619,114,171.712043
64.5701,68,171.764002
63.608788,67,171.876983
171.37952,187,171.892478
104.5744,113,171.90494
94.39633,100,171.949972
146.23746,171,171.983244
114.00119,124,172.050483
95.5671,103,172.094298
95.626335,103,247.203374
58.136284,60,247.233786
127.12546,143,247.491375
135.82901,146,247.533204
107.67626,117,247.574694
120.75462,127,247.662687
189.49222,212,247.786226
131.04784,141,247.804383
75.67156,82,247.825519
175.51698,209,247.873428
109.22114,117,248.004202
190.08517,206,248.035909
69.07438,72,248.076181
116.48216,128,248.089189
80.85786,85,248.145321
77.62152,84,248.161885
67.468025,71,248.376982
74.96512,80,248.402653
61.16725,64,248.407472
170.04564,196,248.459188
130.16245,151,248.486837
120.86434,134,248.705427
83.762314,91,248.745298
182.26598,198,248.805417
186.1818,204,248.86212
100.29618,113,248.862169
60.905266,63,248.955308
123.5387,136,248.998397
130.27094,144,249.058875
92.57999,97,249.131331
165.6722,197,249.190942
89.99612,95,249.335778
65.45917,70,249.340557
69.35607,73,249.482829
144.14587,162,249.508816
160.99158,173,249.555117
179.82814,218,249.68164
126.10805,139,249.694852
74.8139,80,249.836465
172.99896,218,249.882091
138.41638,153,249.963938
128.58574,141,250.060823
115.26675,130,250.085911
188.49103,205,250.170296
63.1154,67,250.354418
123.20616,131,250.366856
104.73401,113,250.421229
174.1597,206,250.51988
144.64656,167,250.559273
182.64667,221,250.592938
153.59187,185,250.806907
170.19116,184,250.912711
132.91248,151,250.965606
162.7922,184,251.109257
82.75718,87,251.158672
132.11794,146,251.179766
159.69235,192,251.197016
167.90672,190,251.321167
173.62859,213,251.372444
65.77536,70,251.436851
83.652275,91,251.544441
109.13102,117,251.58047
73.5963,79,251.693135
116.470085,126,251.701449
155.91887,189,251.726129
193.59058,214,251.774874
70.339676,74,251.842544
128.00854,139,251.883123
74.85382,82,252.031272
82.534645,90,252.135612
129.1784,142,252.152509
86.60711,93,252.217554
127.38835,142,252.266447
187.96617,206,252.271141
127.36957,142,252.452465
70.88017,76,252.457945
94.31519,99,252.536881
69.18681,74,252.565572
192.6349,213,252.585444
127.123886,147,252.811706
72.38553,78,252.880814
105.77685,116,252.930329
175.97713,227,252.951252
182.87932,200,253.080416
132.21667,149,253.141477
71.46314,75,253.254582
86.08836,94,253.312468
157.74039,182,253.325589
179.66179,217,253.338854
127.25177,141,253.389356
90.685684,101,253.496205
81.29877,89,253.509119
99.1297,107,253.777663
104.589775,113,253.777705
168.06477,220,253.783112
121.95854,135,253.887519
119.86578,131,253.934895
182.63705,198,254.079543
130.06282,143,254.107041
84.80061,92,254.170283
84.952034,92,254.316914
167.3175,205,254.349544
72.84249,77,254.400183
86.56558,90,254.478506
146.50143,156,254.536805
178.8479,216,254.682497
202.2663,225,254.715033
62.443386,65,254.743069
135.07051,150,254.783938
114.516815,130,254.849566
115.41259,126,254.866057
67.63197,72,255.007244
81.274956,88,255.040004
174.23576,220,255.296403
118.70611,134,255.397663
138.53497,155,255.41783
196.83759,219,255.430542
202.2464,228,330.834184
149.7273,172,330.903257
106.22046,115,330.92844
173.64154,222,330.933604
83.00899,88,330.949891
109.20588,118,331.037851
192.9456,218,331.058003
83.33897,91,331.265459
77.40875,84,331.281865
103.18061,115,331.381196
124.52461,143,331.401687
176.68764,207,331.406796
116.85678,126,331.43115
109.29534,126,331.554596
151.58568,169,331.708928
165.81009,181,331.987459
68.984825,73,332.001108
142.09334,159,332.022489
152.7145,186,332.026881
141.27774,157,332.065216
133.96155,157,332.185928
184.85483,214,332.261523
173.93149,226,332.315642
99.83642,112,332.477966
135.77908,160,332.656898
99.5069,106,332.70495
126.95933,141,332.771152
